run_id_1,run_id_2,n_common,ari,nmi,variation_of_information,coassignment_jaccard,imputation_1,scaling_1,reduction_1,clustering_1,seed_1,imputation_2,scaling_2,reduction_2,clustering_2,seed_2,same_imputation,same_scaling,same_reduction,same_clustering,same_seed
0,69,1286,0.07563742282361495,0.02690594534549439,1.702317466225648,0.4441183469501071,mice,quantile,pca70,hierarchical,0,missforest_like,robust,pca90,gmm,1,False,False,False,False,False
0,70,1286,0.6903112070716145,0.5628335023252912,0.7966358729982363,0.7600426834255541,mice,quantile,pca70,hierarchical,0,mice,quantile,pca80,consensus,2,True,True,False,False,False
0,71,1286,0.7095386017279942,0.5725195722280808,0.7634841502456644,0.7788427698995963,mice,quantile,pca70,hierarchical,0,missforest_like,zscore,pca90,kmeans,0,False,False,False,False,True
0,72,1286,0.08733632191682587,0.030686930887353744,1.5986576612304022,0.47699864779093193,mice,quantile,pca70,hierarchical,0,knn,zscore,pca70,gmm,1,False,False,True,False,False
0,73,1286,-0.005467105660411474,0.00018510086748894277,1.5524620659656407,0.46362587478461287,mice,quantile,pca70,hierarchical,0,median,robust,none,kmeans,4,False,False,False,False,False
0,74,885,0.023859207583444685,0.0065314667547216165,1.2201133559368416,0.53328365221054,mice,quantile,pca70,hierarchical,0,complete_case,robust,ica,consensus,3,False,False,False,False,False
0,75,1286,0.6531089135364192,0.511372675844838,0.8648208200949774,0.7441668693170287,mice,quantile,pca70,hierarchical,0,mice,quantile,pca90,hierarchical,3,True,True,False,True,False
0,76,1286,0.3939692935800136,0.26527345189387624,1.2476037302404466,0.6087703278898567,mice,quantile,pca70,hierarchical,0,knn,zscore,pca80,hierarchical,4,False,False,False,True,False
0,77,885,0.6536043480220188,0.5457062330535555,0.8486137557080593,0.7271665612378959,mice,quantile,pca70,hierarchical,0,complete_case,quantile,pca70,kmeans,2,False,True,True,False,False
0,78,1286,-0.004559555501625687,0.0001247346960918702,1.5886542469471088,0.455008262441263,mice,quantile,pca70,hierarchical,0,median,robust,ica,consensus,0,False,False,False,False,True
0,79,1286,0.6878122294192306,0.5615492533131077,0.7999382577745038,0.7579723737251717,mice,quantile,pca70,hierarchical,0,missforest_like,quantile,none,consensus,1,False,True,False,False,False
0,80,1286,0.0852034196923791,0.03215985900818794,1.694158434133083,0.44796929734339735,mice,quantile,pca70,hierarchical,0,median,zscore,pca70,gmm,3,False,False,True,False,False
0,81,1286,0.367805275376991,0.25626094499889995,1.365687990135012,0.5607733537909884,mice,quantile,pca70,hierarchical,0,mice,zscore,none,gmm,2,True,False,False,False,False
0,82,885,-0.005574489732247116,0.00021096640990611126,1.638492759677104,0.4393684097715487,mice,quantile,pca70,hierarchical,0,complete_case,robust,pca90,hierarchical,0,False,False,False,True,True
0,83,1286,0.5018785595553411,0.36906068522852,1.147385928082677,0.6411636767769006,mice,quantile,pca70,hierarchical,0,missforest_like,quantile,ica,kmeans,4,False,True,False,False,False
0,84,1286,0.694303398594917,0.5575986398654975,0.796362247484963,0.7663637682497395,mice,quantile,pca70,hierarchical,0,knn,zscore,pca80,kmeans,1,False,False,False,False,False
0,85,1286,0.5704521021666454,0.4297517042228128,1.0279381534655032,0.6860261764923068,mice,quantile,pca70,hierarchical,0,missforest_like,quantile,pca90,hierarchical,0,False,True,False,True,True
0,86,885,0.004687197762541185,0.0018229831843763263,1.8976709837489734,0.36413235467284216,mice,quantile,pca70,hierarchical,0,complete_case,robust,pca80,gmm,1,False,False,False,False,False
0,87,1286,0.046187771721144626,0.01207233135665533,1.707426625790337,0.43770187808294436,mice,quantile,pca70,hierarchical,0,mice,robust,ica,consensus,2,True,False,False,False,False
0,88,1286,0.6683880311340875,0.5286637208528427,0.83140133983898,0.7550144763839661,mice,quantile,pca70,hierarchical,0,median,quantile,none,gmm,3,False,True,False,False,False
0,89,1286,0.4953772791337015,0.35697147512765953,1.1558622800078866,0.6421569227594144,mice,quantile,pca70,hierarchical,0,knn,quantile,pca70,hierarchical,4,False,True,True,True,False
0,90,1286,0.6967132898030396,0.5593522125511234,0.791315824527997,0.7686692573321164,mice,quantile,pca70,hierarchical,0,knn,zscore,pca90,consensus,4,False,False,False,False,False
0,91,1286,0.6231588102393713,0.47965027977056973,0.9269485793078438,0.7230475532485477,mice,quantile,pca70,hierarchical,0,mice,zscore,ica,kmeans,0,True,False,False,False,True
0,92,885,-0.00864022208675912,0.0005798915505881289,1.6356581861025774,0.43871569886336614,mice,quantile,pca70,hierarchical,0,complete_case,robust,none,hierarchical,1,False,False,False,True,False
0,93,1286,0.004290245144606313,0.0006590168914278977,1.8624054763216698,0.37632244964584666,mice,quantile,pca70,hierarchical,0,median,robust,pca80,gmm,3,False,False,False,False,False
