analysis_id,coassignment_robustness_score,coassignment_robustness_ci_low,coassignment_robustness_ci_high,coassignment_entropy,coassignment_certainty,n_valid_pipeline_assignments,n_valid_pipelines_total,assignment_coverage,n_consensus_neighbors,mean_posterior_uncertainty,median_posterior_uncertainty,n_probabilistic_runs,robustness_quartile
7d701e7dd42e,0.7185222753373005,0.6730474774553631,0.7574569750628616,0.7191578961140624,0.28084210388593756,116,116,1.0,931,0.17216404364012144,0.1056300217940455,60,Q2
7db9bbbeb2c8,0.7659286942376247,0.7347575577824813,0.7943963870306693,0.6253749953775559,0.3746250046224441,116,116,1.0,938,0.22024448396875265,0.13268716447160805,60,Q4_high
7deb0c02eec8,0.7779460345550452,0.7558643733323778,0.8026124115840593,0.582156250167169,0.417843749832831,116,116,1.0,948,0.17180313182118553,0.0702402650279226,60,Q4_high
7e72f88d518a,0.780332857934627,0.7603132571057007,0.7987419522021671,0.5711384548181588,0.42886154518184116,116,116,1.0,955,0.17650016494068518,0.125,60,Q4_high
7f8742e67e56,0.7881167982364683,0.7594864833215267,0.815664526281395,0.575071435817106,0.42492856418289404,92,116,0.7931034482758621,944,0.18103163767875197,0.12804926974154765,48,Q4_high
804bcbd361e3,0.6823548288464936,0.6299316881007121,0.7301759532871679,0.7980610138510077,0.2019389861489923,116,116,1.0,917,0.2148883150841637,0.13075619276219785,60,Q2
8072cddaca3f,0.7555004610380641,0.7086047855971243,0.7965367336358858,0.6444399784457142,0.3555600215542858,92,116,0.7931034482758621,908,0.16825322988405178,0.12602570154423964,48,Q3
80cf2e3fb6b9,0.5523550186237824,0.4939345373379553,0.6112951876448331,0.8739898281571944,0.1260101718428056,92,116,0.7931034482758621,444,0.2087833177251683,0.13075619276219785,48,Q1_low
817c0799af95,0.7434167517644577,0.7022564748158197,0.7790258072124783,0.6968683522117923,0.30313164778820767,92,116,0.7931034482758621,985,0.17890485137725265,0.12926277969986766,48,Q3
8181105cbee5,0.757410494309802,0.7214335777442221,0.7868075084651611,0.6646848460983625,0.33531515390163746,116,116,1.0,929,0.24067946365425544,0.1360776392555722,60,Q3
8213ed529268,0.7833106093995322,0.7494778812799406,0.8123313179768937,0.597925777294882,0.40207422270511795,92,116,0.7931034482758621,938,0.17654020127858638,0.12804926974154765,48,Q4_high
824f5ede2834,0.6794622181243108,0.6302745044561967,0.722605366538244,0.8185980838646905,0.18140191613530954,116,116,1.0,952,0.20522601647794597,0.12804926974154765,60,Q2
8279397a028d,0.7779460345550452,0.7545551985875648,0.8028943590724921,0.582156250167169,0.417843749832831,116,116,1.0,948,0.21505843353960247,0.1329979783598908,60,Q4_high
829200b4ab94,0.6682900125624817,0.6163833309262834,0.7212613909917234,0.8297947981967296,0.17020520180327037,116,116,1.0,927,0.208966235642082,0.12964404041402688,60,Q2
82f1d36fe1f8,0.674264659377955,0.6162634376264196,0.7236086159719763,0.8048682398599899,0.1951317601400101,116,116,1.0,905,0.18925126074151005,0.125,60,Q2
82fb43ac175a,0.5489034988522499,0.5133185888890919,0.5874483149835351,0.8548866539097891,0.14511334609021087,116,116,1.0,506,0.18429981556729375,0.125,60,Q1_low
83e807d083f2,0.780332857934627,0.7596727442337405,0.79924985588811,0.5711384548181588,0.42886154518184116,116,116,1.0,955,0.17229074691842344,0.0950869564444914,60,Q4_high
840844dd0afa,0.7555004610380641,0.7053224665721387,0.8001128248013596,0.6444399784457142,0.3555600215542858,92,116,0.7931034482758621,908,0.16825322988405178,0.12602570154423964,48,Q3
844ab8bb2f7e,0.5827304930730244,0.5378274393217055,0.6323251948804398,0.8210874931100185,0.1789125068899815,116,116,1.0,440,0.22039655868147484,0.1331605294190138,60,Q2
845c36347272,0.6666939646393024,0.6278116845592858,0.7025147522673235,0.8662571659624468,0.13374283403755316,116,116,1.0,1168,0.19500425260006785,0.12804926974154765,60,Q2
84ca097d3107,0.6010519912021838,0.5407077247404712,0.6612378411230101,0.8700480328851874,0.1299519671148126,116,116,1.0,883,0.17083867980129755,0.08864119849713555,60,Q2
8510bd06628a,0.7702227616932643,0.7400719561073064,0.798973673662827,0.6204751831400785,0.37952481685992145,116,116,1.0,932,0.182324829387496,0.125,60,Q4_high
852730ce9995,0.5927864693562566,0.5358969541330771,0.6473579073102358,0.7915237638088953,0.20847623619110467,92,116,0.7931034482758621,417,0.17008979750242706,0.12602570154423964,48,Q2
