feature_removed,pipeline,seed,n_common,valid_solution,min_cluster_fraction,ari_after_removal,destabilization
DHEAS,median-zscore-none-kmeans,2,1286,True,0.30404354587869364,0.9526826210372448,0.023658689481377615
DHEAS,median-zscore-none-kmeans,3,1286,True,0.30404354587869364,0.9526826210372448,0.023658689481377615
DHEAS,median-zscore-none-kmeans,4,1286,True,0.30326594090202175,0.9526636339264482,0.023668183036775925
ANDRO,median-zscore-pca80-gmm,0,1286,True,0.31959564541213065,0.8894995819464264,0.05525020902678679
ANDRO,median-zscore-pca80-gmm,1,1286,True,0.31959564541213065,0.8894995819464264,0.05525020902678679
ANDRO,median-zscore-pca80-gmm,2,1286,True,0.31959564541213065,0.8894995819464264,0.05525020902678679
ANDRO,median-zscore-pca80-gmm,3,1286,True,0.31959564541213065,0.8894995819464264,0.05525020902678679
ANDRO,median-zscore-pca80-gmm,4,1286,True,0.3188180404354588,0.8924695781253426,0.05376521093732872
ANDRO,median-robust-pca80-gmm,0,1286,True,0.18351477449455678,0.2935568858723382,0.3532215570638309
ANDRO,median-robust-pca80-gmm,1,1286,True,0.18429237947122862,0.2953757687637034,0.3523121156181483
ANDRO,median-robust-pca80-gmm,2,1286,True,0.18429237947122862,0.2953757687637034,0.3523121156181483
ANDRO,median-robust-pca80-gmm,3,1286,True,0.18351477449455678,0.2935568858723382,0.3532215570638309
ANDRO,median-robust-pca80-gmm,4,1286,True,0.18429237947122862,0.2953757687637034,0.3523121156181483
ANDRO,median-zscore-none-kmeans,0,1286,True,0.2962674961119751,0.949474404469274,0.025262797765363
ANDRO,median-zscore-none-kmeans,1,1286,True,0.2962674961119751,0.9463474187792935,0.026826290610353243
ANDRO,median-zscore-none-kmeans,2,1286,True,0.29704510108864696,0.943248079682292,0.02837596015885402
ANDRO,median-zscore-none-kmeans,3,1286,True,0.2962674961119751,0.9463474187792935,0.026826290610353243
ANDRO,median-zscore-none-kmeans,4,1286,True,0.2962674961119751,0.9432240313388828,0.028387984330558613
AMH,median-zscore-pca80-gmm,0,1286,True,0.35303265940902023,0.794802907031585,0.10259854648420752
AMH,median-zscore-pca80-gmm,1,1286,True,0.35303265940902023,0.794802907031585,0.10259854648420752
AMH,median-zscore-pca80-gmm,2,1286,True,0.3522550544323484,0.7975899784514645,0.10120501077426775
AMH,median-zscore-pca80-gmm,3,1286,True,0.3522550544323484,0.7975899784514645,0.10120501077426775
AMH,median-zscore-pca80-gmm,4,1286,True,0.35303265940902023,0.794802907031585,0.10259854648420752
AMH,median-robust-pca80-gmm,0,1286,True,0.38880248833592534,0.9659787246629837,0.017010637668508133
AMH,median-robust-pca80-gmm,1,1286,True,0.38880248833592534,0.9659787246629837,0.017010637668508133
AMH,median-robust-pca80-gmm,2,1286,True,0.38880248833592534,0.9659787246629837,0.017010637668508133
AMH,median-robust-pca80-gmm,3,1286,True,0.38880248833592534,0.9659787246629837,0.017010637668508133
AMH,median-robust-pca80-gmm,4,1286,True,0.38880248833592534,0.9659787246629837,0.017010637668508133
AMH,median-zscore-none-kmeans,0,1286,True,0.29704510108864696,0.9904314727033253,0.004784263648337339
AMH,median-zscore-none-kmeans,1,1286,True,0.2978227060653188,0.9968055137436942,0.0015972431281529031
AMH,median-zscore-none-kmeans,2,1286,True,0.29704510108864696,0.9936146630136753,0.003192668493162354
